,Strategy,Number of addresses,Number of accesses in loop,Different addresses in loop,Step size,Mirrored,Rate,Average runtime
253,12-4-3-1-m,12,4,3,1,False,0.06000600060006001,2781.041712513754
254,12-4-4-1-m,12,4,4,1,False,0.07001400280056011,3036.863286328633
255,12-4-5-1-m,12,4,5,1,False,0.25002500250025006,5924.655324259407
256,12-4-6-1-m,12,4,6,1,False,2.06020602060206,6845.545536429143
257,12-4-7-1-m,12,4,7,1,False,0.20004000800160032,6892.337970376301
258,12-4-8-1-m,12,4,8,1,False,0.06000600060006001,6576.6549549549545
259,12-4-9-1-m,12,4,9,1,False,0.09002700810243072,6041.311655827914
260,12-5-1-1-m,12,5,1,1,False,0.16001600160016002,1662.005401620486
261,12-5-10-1-m,12,5,10,1,False,0.08008809690659725,6252.024624624624
262,12-5-2-1-m,12,5,2,1,False,0.050020008003201284,2097.8866546618647
263,12-5-3-1-m,12,5,3,1,False,0.07002100630189056,3122.9586793396697
264,12-5-4-1-m,12,5,4,1,False,0.16001600160016002,3482.886154461785
265,12-5-5-1-m,12,5,5,1,False,0.10006003602161297,7324.556801121009
266,12-5-6-1-m,12,5,6,1,False,0.28002800280028,8287.57503253579
267,12-5-7-1-m,12,5,7,1,False,0.14014014014014012,8407.437737737739
268,12-5-8-1-m,12,5,8,1,False,0.2700810243072922,8043.316921845291
269,12-5-9-1-m,12,5,9,1,False,0.2900580116023205,7283.418986581214
270,12-6-1-1-m,12,6,1,1,False,0.07000700070007,1789.4409763905562
271,12-6-10-1-m,12,6,10,1,False,0.21004200840168036,7284.269296225849
272,12-6-2-1-m,12,6,2,1,False,0.21004200840168036,2321.750450270162
273,12-6-3-1-m,12,6,3,1,False,0.20006001800540163,3529.2253126563282
274,12-6-4-1-m,12,6,4,1,False,0.13001300130013002,3917.4412088461922
275,12-6-5-1-m,12,6,5,1,False,0.2700540108021604,8701.016317949745
276,12-6-6-1-m,12,6,6,1,False,0.21002100210021002,9790.150325488232
277,12-6-7-1-m,12,6,7,1,False,0.0,9860.811705852926
278,12-6-8-1-m,12,6,8,1,False,0.14001400140014,9415.382567797458
279,12-6-9-1-m,12,6,9,1,False,0.12021638950110197,8639.734367183592
280,12-7-1-1-m,12,7,1,1,False,0.10002000400080016,1911.1635981588954
281,12-7-10-1-m,12,7,10,1,False,2.1408563425370146,8375.268214571657
282,12-7-2-1-m,12,7,2,1,False,0.0,2527.8111055527766
283,12-7-3-1-m,12,7,3,1,False,0.0900720576461169,3902.0789473684213
284,12-7-4-1-m,12,7,4,1,False,0.11020939785592626,4362.253879267194
285,12-7-5-1-m,12,7,5,1,False,0.2000200020002,10104.394976483538
286,12-7-6-1-m,12,7,6,1,False,0.0,11235.254405286343
287,12-7-7-1-m,12,7,7,1,False,0.09000900090009001,11342.11855927964
288,12-7-8-1-m,12,7,8,1,False,0.21004200840168036,10807.799439271052
289,12-7-9-1-m,12,7,9,1,False,0.0,9825.370893429486
290,12-8-1-1-m,12,8,1,1,False,0.05001000200040008,2143.5650130026006
291,12-8-10-1-m,12,8,10,1,False,0.28005601120224044,9402.37474969964
292,12-8-2-1-m,12,8,2,1,False,0.030003000300030006,2821.6859057717315
293,12-8-3-1-m,12,8,3,1,False,0.0,4242.054321728691
294,12-8-4-1-m,12,8,4,1,False,0.12004801920768307,4777.3419709854925
295,12-8-5-1-m,12,8,5,1,False,0.09003601440576231,11488.421848402924
296,12-8-6-1-m,12,8,6,1,False,0.28005601120224044,12725.375075075075
297,12-8-7-1-m,12,8,7,1,False,1.5301530153015301,12796.68573432178
298,12-8-8-1-m,12,8,8,1,False,0.18001800180018002,12299.817363472695
299,12-8-9-1-m,12,8,9,1,False,0.19005701710513154,11124.896489648965
300,12-9-1-1-m,12,9,1,1,False,0.13003901170351106,2232.1190357107134
301,12-9-10-1-m,12,9,10,1,False,0.08005603922745923,10495.225267580274
302,12-9-2-1-m,12,9,2,1,False,0.11004401760704283,3012.465232616308
